Thu Aug 26 11:45:36 2021

Parámetros:
Canal de disparo:	3
Frecuencia de muestreo:	50
Nivel de disparo=	2.000000
Cantidad de muestras post trigger =	70
Cantidad de muestras pre trigger =	30
Volts/cuenta =	5000000/8388608
Canal 0 (uV)	Canal 1 (uV)	Canal 2 (uV)	Canal 3 (uV)	Canal 4 (uV)	Canal 5 (uV)	Canal 6 (uV)	Canal 7 (uV)	Tiempo: canal 0 (S) +	uS
931198	1557343	2197553	2348957	2835163	3747397	4387184	5028703	1629989136	805806
923708	1558296	2198788	2348950	2840176	3744540	4385496	5028689	1629989136	968093
933275	1574882	2220205	2348939	2868055	3729149	4372280	5028661	1629989137	130380
941516	1586583	2234341	2349183	2884389	3723549	4375584	5028674	1629989137	292667
934216	1568936	2223163	2349348	2869682	3731241	4378832	5028673	1629989137	454954
933696	1575641	2221876	2349006	2869832	3731047	4379049	5028656	1629989137	617242
933232	1573714	2220799	2348867	2865098	3732247	4379684	5028681	1629989137	779529
932503	1573725	2219877	2348707	2866343	3731082	4378191	5028672	1629989137	941817
922403	1559407	2200290	2348687	2840607	3743506	4385165	5028669	1629989138	104104
923956	1558969	2197549	2348642	2834411	3758875	4400423	5028756	1629989138	266391
894384	1516980	2090706	2348826	2689978	3813192	4399774	5028720	1629989138	428679
899657	1514800	2141013	2348758	2765144	3775791	4401271	5028728	1629989138	590966
901401	1520501	2147257	2348663	2782323	3767863	4397252	5028729	1629989138	753253
906928	1528800	2155356	2348606	2785298	3760448	4385930	5028676	1629989138	915541
922852	1554781	2190155	2348462	2819837	3765902	4397500	5028707	1629989139	77828
910460	1536163	2174107	2348631	2813348	3757888	4392117	5028700	1629989139	240116
914804	1543988	2175930	2348861	2808065	3760055	4393826	5028704	1629989139	402403
913104	1539771	2174817	2349006	2804728	3760521	4394515	5028854	1629989139	564690
913560	1540873	2152565	2348960	2779128	3818126	4418407	5028960	1629989139	726979
916421	1548953	2180556	2348941	2817744	3753533	4390431	5029795	1629989139	889266
936526	1587742	2239929	2348840	2891964	3719404	4374093	5028791	1629989140	51553
890829	1522540	2139965	2348581	2600051	3887277	4421789	5028803	1629989140	213841
861916	1486233	2102887	2346837	2779411	3758222	4408737	5028787	1629989140	376128
908521	1549966	2188140	2357731	2832796	3747995	4386459	5028693	1629989140	538416
922142	1556055	2196094	2514565	2843745	3728870	4377517	5028671	1629989140	700703
935815	1583884	2234770	2525478	2880098	3726190	4376196	5028487	1629989140	862990
924505	1554766	2192926	2528095	2828613	3754043	4394162	5028568	1629989141	25278
901024	1535527	2165219	2527571	2792335	3769894	4401420	5028539	1629989141	187565
900094	1518755	2142340	2527538	2770042	3776623	4401954	5028581	1629989141	349855
898998	1519292	2144489	2637073	2630057	3849980	4439846	5028724	1629989141	512140
776140	1297673	1847503	3344796	2463300	3887280	4458245	5028820	1629989141	674427
834720	1416953	2000056	3750513	2544899	3678536	4362127	5028600	1629989141	836714
939578	1526727	2115550	3077277	2753899	3697149	4354349	5028512	1629989141	999039
996451	1617759	2293646	2780684	2970584	3674494	4350270	5028479	1629989142	161324
952345	1622417	2298363	2780899	2975511	3672670	4349333	5028461	1629989142	323611
953015	1623496	2299958	2781524	2976801	3672325	4349286	5028480	1629989142	485898
953372	1623700	2300027	2781416	2976589	3672196	4349210	5028499	1629989142	648187
953569	1623263	2300268	2780347	2977327	3672126	4349172	5028503	1629989142	810480
