0 : 3.300130 V   1 : 2.795008 V   2 : 2.352275 V   3 : 1.947367 V   4 : 1.570951 V   5 : 1.212379 V   6 : 0.852698 V   7 : 0.465572 V 
0 : 3.301369 V   1 : 2.795342 V   2 : 2.352584 V   3 : 1.946936 V   4 : 1.571064 V   5 : 1.212692 V   6 : 0.853389 V   7 : 0.465526 V 
0 : 3.301545 V   1 : 2.795565 V   2 : 2.352174 V   3 : 1.947448 V   4 : 1.570395 V   5 : 1.213352 V   6 : 0.852946 V   7 : 0.465904 V 
0 : 3.301390 V   1 : 2.795246 V   2 : 2.352657 V   3 : 1.947144 V   4 : 1.571150 V   5 : 1.213117 V   6 : 0.853432 V   7 : 0.465649 V 
0 : 3.301407 V   1 : 2.795345 V   2 : 2.352470 V   3 : 1.947157 V   4 : 1.570835 V   5 : 1.212928 V   6 : 0.853198 V   7 : 0.465657 V 
0 : 3.300171 V   1 : 2.795088 V   2 : 2.352586 V   3 : 1.947379 V   4 : 1.571249 V   5 : 1.212756 V   6 : 0.853130 V   7 : 0.465502 V 
0 : 3.301494 V   1 : 2.795425 V   2 : 2.352223 V   3 : 1.947319 V   4 : 1.570547 V   5 : 1.213151 V   6 : 0.853046 V   7 : 0.465752 V 
0 : 3.301582 V   1 : 2.795694 V   2 : 2.352732 V   3 : 1.947712 V   4 : 1.571250 V   5 : 1.213714 V   6 : 0.853158 V   7 : 0.465925 V 
0 : 3.301492 V   1 : 2.795448 V   2 : 2.352901 V   3 : 1.947354 V   4 : 1.571559 V   5 : 1.213285 V   6 : 0.853867 V   7 : 0.465946 V 
0 : 3.301487 V   1 : 2.795414 V   2 : 2.352091 V   3 : 1.947392 V   4 : 1.570408 V   5 : 1.213238 V   6 : 0.852898 V   7 : 0.465828 V 
0 : 3.300285 V   1 : 2.795413 V   2 : 2.352674 V   3 : 1.947383 V   4 : 1.571304 V   5 : 1.212999 V   6 : 0.853370 V   7 : 0.466077 V 
0 : 3.301467 V   1 : 2.795479 V   2 : 2.352126 V   3 : 1.947443 V   4 : 1.570506 V   5 : 1.213273 V   6 : 0.852882 V   7 : 0.465857 V 
0 : 3.301531 V   1 : 2.795472 V   2 : 2.352963 V   3 : 1.947427 V   4 : 1.571711 V   5 : 1.213406 V   6 : 0.853860 V   7 : 0.465962 V 
0 : 3.301454 V   1 : 2.795405 V   2 : 2.352093 V   3 : 1.947301 V   4 : 1.570483 V   5 : 1.213199 V   6 : 0.852996 V   7 : 0.465786 V 
0 : 3.301652 V   1 : 2.795632 V   2 : 2.352818 V   3 : 1.947708 V   4 : 1.571358 V   5 : 1.213713 V   6 : 0.853595 V   7 : 0.465983 V 
